View,Coment,Like,Subscriber
161890,1048,8900,5800000
12488,76,1500,32600
967130,13458,95000,23900000
174111,1555,25000,23800000
22003,443,2000,288000
22923,510,1800,123000
1961,2,141,2350
21842,227,2500,32600
14452,48,535,64100
68188,538,6700,420000
23447,95,1300,697000
17207,1,1000,39300
298,2,8,6640
1370981,10695,54000,1160000
3988,47,264,171000
11833,4,628,71000
4177,13,72,68600
5691,65,848,32600
40606,634,3800,487000
84871,676,3000,114000
34061,437,1300,132000
8383,88,469,617000
22614,144,689,2380000
264210,1359,27000,339000
154370,1805,19000,12300000
2130,33,109,64600
8893,121,584,928000
19919,49,803,219000
7787,70,164,40700
58803,606,3800,2230000
343845,4471,36000,907000
13856,422,1700,420000
4820,80,208,34100
14549,389,868,153000
3376,231,166,33000
10768,124,536,55600
4918,215,564,109000
5348,25,220,48700
33845,409,1600,82200
2686,47,232,63100
15,2,2,121
2418,19,158,4650
8060,81,840,98200
7886,289,763,97500
1748,3,31,26000
9823,8,327,6580
31232,387,2900,69700
7878,46,335,321000
102454,464,14000,5880000
6304,16,54,263000
6258,45,276,514000
240567,2412,12000,974000
225,8,28,348
25116,500,3500,388000
22614,110,743,256000
2079,22,146,28500
61048,269,4100,345000
39567,1167,2000,54900
41771,67,1800,111000
80555,175,3600,2490000
57275,471,7400,162000
190236,548,13000,3130000
2408,19,175,51500
5163,25,220,197000
4626,144,305,10800
34463,249,1800,88600
17208,69,1000,1320000
5542,29,684,39000
6960,28,452,52000
196205,2142,8100,121000
3128,36,204,16500
21879,268,1400,927000
5143,70,448,96300
38576,245,1300,94100
7197,63,620,63800
221181,1081,15000,932000
738,24,81,26700
3027,142,224,26700
4045,31,207,42800
3391,65,312,28000
18666,138,754,65300
1518,3,38,14800
9748,46,386,69800
5989,117,813,17800
2882,2,7,136000
11518,262,530,8750
31078,232,2200,203000
21774,563,3500,288000
341209,4461,2700,3320000
28984,6,1000,39300
310030,86,5200,473000
2156,18,103,316000
135512,1279,14000,755000
4485,98,595,63700
6198,25,156,81000
61540,378,2000,547000
265176,2469,8800,1280000
78685,455,1300,219000
149852,1182,3400,123000
1206,40,132,21000
13353,612,1800,124000
1204,68,177,603000
1165,60,59,13500
17536,154,557,227000
678,11,29,1450
1386,0,79,1740
649,15,24,11500
564570,1176,25000,5960000
4399,21,118,49500
2940,33,289,77500
41469,290,3200,1810000
50576,260,2700,231000
14464,89,278,85500
33298,188,406,174000
97320,715,3300,185000
118512,558,5800,1130000
1000,0,97,37500
3384,23,30,9680
6541,7,163,398000
1244,3,20,15500
92438,1384,7700,250000
601369,3774,27000,5500000
9521,47,696,686000
1564,9,9,5380
240694,4698,36000,5070000
7110,79,235,725000
109512,539,6100,1870000
13462,280,630,61400
166187,514,5600,251000
5958,0,208,37500
18884,1042,2200,772000
39942,621,4400,359000
1755,3,128,2360
202422,1003,5200,973000
35606,105,829,218000
14012,148,622,198000
69701,141,3100,293000
94442,268,1700,755000
10276,88,183,81700
22393,103,3700,66600
2137,102,95,18900
4212,164,231,433000
2289,64,56,18700
66627,313,2300,207000
240,8,24,9730
48270,233,1700,118000
6605,190,204,19700
29191,112,1000,52000
346,2,24,2140
28412,139,418,265000
774,47,84,355000
539587,4312,22000,9020000
219409,502,8300,5270000
3870,104,128,61400
10207,117,357,21200
215,17,23,2960
42774,102,858,198000
2380,22,73,60600
6299,77,453,122000
7226,87,798,16500
4360,18,127,29500
874,6,25,15500
371,14,17,7400
234,11,24,10200
1300,18,42,57400
390,3,8,21400
1778,8,65,4450
9766,145,1400,506000
17582,197,1000,279000
4758,18,49,2160
3546,66,90,141000
6474,19,122,34000
2000,79,244,19300
17065,68,925,104000
1511,14,48,2280
1124,2,31,15300
106,1,20,1210
3019,7,25,5430
6678,0,206,37600
72758,1054,3800,3470000
50683,288,3000,583000
1876,3,99,2400
27113,26,128,136000
106067,151,2800,706000
20457,232,999,111000
530,34,12,4730
21452,394,348,67300
25387,2,1400,40400
20207,527,1900,71400
15419,135,1000,399000
78,5,4,1420
2244,27,55,163000
593044,2365,58000,6770000
31580,319,1300,745000
17,7,6,154
135448,266,4000,13400000
18800,141,945,703000
249312,2741,10000,3700000
1882,31,40,39200
43801,157,2000,1300000
990327,3449,37000,16600000
5015,109,227,20700
11601,103,462,57700
7488,41,157,222000
18,0,2,12
264296,1760,16000,2400000
15412,83,538,22800
4724,136,1000,41300
83,8,5,52
46602,402,2200,147000
105980,333,6900,3500000
10288,80,1000,384000
58747,269,3200,146000
2730,55,202,67000
302,9,10,745
75114,276,4100,408000
17106,283,1100,96800
22176,67,926,36300
48868,724,3300,1100000
55512,865,7400,54800
13953,11,194,82500
10610,132,615,161000
37209,505,2300,89000
217,2,8,1080
6674,54,600,163000
30781,414,955,219000
117728,396,4200,255000
181374,4390,12000,17000000
755,18,12,25600
46948,205,378,263000
83954,162,2600,511000
32733,1278,3500,1610000
79715,332,1700,1100000
2776,16,62,9750
1017,10,20,36300
18378,505,1900,24000
5635,57,799,752000
17192,319,2100,624000
6876,48,135,15600
78141,197,2100,160000
24029,302,674,384000
150,10,9,1610
58607,143,1100,327000
225,2,10,9360
442,6,27,4590
774,100,96,18900
5891,28,115,34400
5475,128,412,25300
870398,9044,68000,12600000
5261,12,190,22600
86346,37,1500,811000
4252,26,153,82700
15424,97,265,355000
923,16,75,10100
33344,170,1000,221000
3551,11,61,25300
7145,160,332,41200
130,2,4,19400
193,37,24,1120
270,0,6,63800
31371,66,1100,70200
2705,53,50,7170
28774,244,2900,460000
6203,7,160,47600
1667,3,81,4090
1892571,18203,71000,8860000
253747,1861,10000,3710000
4817,18,103,34100
1497,11,18,6350
909,20,169,26300
95588,443,2800,22400000
540,25,19,18100
8938,35,147,350000
112740,1208,7700,1560000
63526,726,5800,940000
10019,0,60,136000
16049,105,2100,33600
1344,34,98,29400
8091,48,386,219000
4654,9,107,34100
167253,1454,18000,2520000
612,14,31,549
564,6,81,7830
6005,18,410,24100
665,0,42,4090
131068,1117,6600,1200000
77637,1838,12000,2370000
641,5,60,10300
2562,12,38,279
5587,150,219,5270
772,42,18,365
119,10,11,6170
9083,0,48,136000
75,8,3,1630
12,0,1,862
1582,63,53,2590
